occupation,gender,age_band,anxiety,occupation2
teachers,male,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,male,25-34,0,teachers
teachers,male,65+,0,teachers
teachers,female,25-34,1,teachers
teachers,male,45-54,0,teachers
teachers,male,35-44,1,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,1,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,1,teachers
teachers,female,25-34,0,teachers
teachers,male,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,male,25-34,0,teachers
teachers,male,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,male,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,male,25-34,1,teachers
teachers,female,18-24,0,teachers
teachers,male,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,male,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,male,65+,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,male,25-34,0,teachers
teachers,female,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,1,teachers
teachers,male,25-34,0,teachers
teachers,female,65+,0,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,1,teachers
teachers,male,45-54,0,teachers
teachers,male,25-34,0,teachers
teachers,female,45-54,1,teachers
teachers,male,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,1,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,65+,1,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,female,45-54,1,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,0,teachers
teachers,male,25-34,0,teachers
teachers,female,35-44,1,teachers
teachers,male,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,male,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,male,18-24,0,teachers
teachers,male,18-24,0,teachers
teachers,female,55-64,0,teachers
teachers,male,45-54,0,teachers
teachers,male,18-24,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,1,teachers
teachers,female,35-44,1,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,1,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,male,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,male,55-64,0,teachers
teachers,male,18-24,0,teachers
teachers,female,55-64,0,teachers
teachers,male,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,male,55-64,0,teachers
teachers,female,65+,0,teachers
teachers,female,65+,0,teachers
teachers,female,18-24,0,teachers
teachers,female,65+,0,teachers
teachers,female,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,18-24,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,1,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,18-24,0,teachers
teachers,female,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,18-24,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,1,teachers
teachers,male,35-44,0,teachers
teachers,male,65+,0,teachers
teachers,male,55-64,0,teachers
teachers,male,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,male,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,1,teachers
teachers,male,55-64,0,teachers
teachers,male,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,male,65+,0,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,0,teachers
teachers,male,65+,0,teachers
teachers,male,25-34,0,teachers
teachers,male,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,male,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,female,35-44,1,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,1,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,male,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,1,teachers
teachers,male,35-44,0,teachers
teachers,male,35-44,1,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,1,teachers
teachers,male,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,male,25-34,0,teachers
teachers,male,25-34,0,teachers
teachers,male,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,male,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,65+,0,teachers
teachers,male,55-64,0,teachers
teachers,female,25-34,1,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,female,65+,0,teachers
teachers,female,25-34,0,teachers
teachers,male,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,1,teachers
teachers,female,45-54,1,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,male,65+,0,teachers
teachers,female,65+,1,teachers
teachers,male,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,55-64,1,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,male,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,male,45-54,0,teachers
teachers,female,65+,1,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,male,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,female,18-24,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,1,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,female,35-44,1,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,1,teachers
teachers,male,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,male,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,male,18-24,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,male,18-24,0,teachers
teachers,female,25-34,0,teachers
teachers,female,65+,0,teachers
teachers,male,35-44,0,teachers
teachers,female,45-54,1,teachers
teachers,female,25-34,0,teachers
teachers,male,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,1,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,1,teachers
teachers,female,65+,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,0,teachers
teachers,male,25-34,0,teachers
teachers,female,18-24,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,1,teachers
teachers,female,55-64,0,teachers
teachers,female,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,male,25-34,0,teachers
teachers,male,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,1,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,1,teachers
teachers,male,25-34,0,teachers
teachers,male,45-54,1,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,18-24,0,teachers
teachers,male,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,male,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,male,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,25-34,1,teachers
teachers,male,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,male,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,male,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,male,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,male,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,male,55-64,0,teachers
teachers,male,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,1,teachers
teachers,male,35-44,0,teachers
teachers,male,25-34,0,teachers
teachers,female,18-24,0,teachers
teachers,female,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,1,teachers
teachers,female,45-54,1,teachers
teachers,female,25-34,0,teachers
teachers,female,18-24,0,teachers
teachers,male,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,male,65+,0,teachers
teachers,female,65+,0,teachers
teachers,male,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,male,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,1,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,1,teachers
teachers,female,35-44,0,teachers
teachers,female,18-24,0,teachers
teachers,female,55-64,1,teachers
teachers,male,65+,0,teachers
teachers,male,55-64,0,teachers
teachers,male,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,female,18-24,1,teachers
teachers,female,25-34,0,teachers
teachers,male,35-44,0,teachers
teachers,male,65+,0,teachers
teachers,female,55-64,0,teachers
teachers,male,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,female,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,male,25-34,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,male,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,45-54,1,teachers
teachers,female,35-44,0,teachers
teachers,female,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,55-64,0,teachers
teachers,female,45-54,0,teachers
teachers,female,65+,0,teachers
teachers,male,65+,0,teachers
teachers,male,65+,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,female,55-64,0,teachers
teachers,female,35-44,0,teachers
teachers,male,35-44,0,teachers
teachers,female,35-44,0,teachers
teachers,male,55-64,0,teachers
teachers,female,25-34,0,teachers
teachers,female,35-44,0,teachers
teachers,male,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,male,45-54,0,teachers
teachers,male,35-44,0,teachers
teachers,female,65+,0,teachers
teachers,female,65+,0,teachers
teachers,female,35-44,0,teachers
teachers,male,55-64,1,teachers
teachers,male,45-54,0,teachers
teachers,female,25-34,0,teachers
teachers,female,45-54,0,teachers
teachers,female,55-64,0,teachers
